,restaurant,negfood_score,negservice_score,posfood_score,posservice_score
0,Upstate,0.040322580645161005,0.040322580645161005,0.701612903225806,0.21774193548387
1,Amélie,0.040650406504065005,0.016260162601626,0.585365853658536,0.35772357723577203
2,Clinton Street Baking Company,0.070866141732283,0.0,0.8031496062992121,0.12598425196850302
3,LoveMama,0.08196721311475401,0.016393442622950002,0.745901639344262,0.15573770491803202
4,BoCaphe,0.08333333333333301,0.041666666666666005,0.616666666666666,0.258333333333333
5,Anytime,0.016393442622950002,0.024590163934426004,0.7295081967213111,0.22950819672131098
6,Barn Joo 35,0.07438016528925599,0.016528925619834,0.6859504132231401,0.223140495867768
7,Thai Villa,0.015748031496062,0.031496062992125005,0.5039370078740151,0.44881889763779503
8,Jacob's Pickles,0.031496062992125005,0.047244094488188,0.732283464566929,0.188976377952755
9,Raku1,0.041666666666666005,0.0,0.8916666666666658,0.06666666666666599
10,Burger & Lobster1,0.055555555555555004,0.055555555555555004,0.5238095238095231,0.365079365079365
11,Boucherie West Village,0.0390625,0.0234375,0.7187500000000001,0.21875000000000006
12,Uglyduckling,0.095238095238095,0.07142857142857101,0.5238095238095231,0.30952380952380903
13,Aunt Jake's,0.057377049180327,0.032786885245901,0.6475409836065571,0.262295081967213
14,Joe's Shanghai,0.1,0.025,0.7583333333333331,0.116666666666666
15,nonono,0.032,0.024,0.784,0.16
16,Chow House,0.08730158730158699,0.023809523809523003,0.8015873015873011,0.08730158730158699
17,Jajaja,0.016528925619834,0.033057851239669,0.586776859504132,0.36363636363636304
18,Root & Bone,0.049180327868852014,0.0,0.8196721311475411,0.131147540983606
19,Tonkatsu Matsunoya,0.08943089430894301,0.05691056910569101,0.6991869918699181,0.15447154471544702
20,Sweet Chick1,0.058823529411764,0.039215686274509005,0.6764705882352939,0.22549019607843104
21,Juliana's Pizza,0.040983606557377004,0.016393442622950002,0.7868852459016391,0.15573770491803202
22,Thursday Kitchen,0.0,0.024193548387096003,0.8145161290322581,0.16129032258064502
23,Jack's Wife Freda1,0.041666666666666005,0.025,0.6583333333333331,0.275
24,TONCHIN NEW YORK,0.03125,0.0,0.9140625,0.0546875
25,Les Enfants de Boheme,0.023809523809523003,0.007936507936507001,0.5317460317460311,0.43650793650793607
26,Fishmarket Restaurant,0.024193548387096003,0.07258064516129001,0.346774193548387,0.5564516129032251
27,Juanchi's Burger,0.048780487804878,0.048780487804878,0.6666666666666661,0.23577235772357705
28,Balzem,0.09090909090909,0.049586776859504,0.5785123966942141,0.28099173553719003
29,Trattoria Trecolori,0.023255813953488,0.023255813953488,0.550387596899224,0.4031007751937981
30,Raku2,0.008130081300813,0.008130081300813,0.9512195121951209,0.032520325203252
31,Chama Mama,0.05,0.03333333333333299,0.6000000000000001,0.31666666666666604
32,Luke's Lobster FiDi,0.048780487804878,0.048780487804878,0.6991869918699181,0.203252032520325
33,Ippudo NY,0.041322314049585994,0.008264462809917,0.8347107438016521,0.115702479338842
34,Dun Huang - East Village,0.08800000000000001,0.032,0.7440000000000001,0.136
35,Cafe Mogador1,0.024193548387096003,0.040322580645161005,0.693548387096774,0.24193548387096706
36,Alta,0.048387096774193006,0.048387096774193006,0.6774193548387091,0.22580645161290305
37,Wah Fung No 1 Fast Food,0.073170731707317,0.024390243902439,0.796747967479674,0.105691056910569
38,99 Favor Taste1,0.008064516129032001,0.08064516129032201,0.5645161290322579,0.346774193548387
39,Atrium Dumbo,0.024590163934426004,0.131147540983606,0.3606557377049181,0.483606557377049
40,Tasty Hand-Pulled Noodles,0.047619047619047006,0.015873015873014998,0.8015873015873011,0.134920634920634
41,Jane,0.065040650406504,0.024390243902439,0.6097560975609749,0.30081300813008105
42,Lillo Cucina Italiana,0.06422018348623801,0.018348623853211003,0.4862385321100911,0.4311926605504579
43,Katz's Delicatessen,0.048780487804878,0.016260162601626,0.6341463414634141,0.30081300813008105
44,The Smith1,0.024193548387096003,0.032258064516129004,0.57258064516129,0.37096774193548304
45,THEP Thai Restaurant,0.008130081300813,0.032520325203252,0.780487804878048,0.178861788617886
46,Celestine,0.016393442622950002,0.10655737704917999,0.385245901639344,0.49180327868852397
47,Bea,0.016,0.055999999999999994,0.5920000000000001,0.336
48,The Alcove,0.015625,0.0234375,0.375,0.5859375
49,Brindle Room,0.024590163934426004,0.040983606557377004,0.7131147540983599,0.22131147540983603
50,Despaña,0.05691056910569101,0.048780487804878,0.6341463414634141,0.260162601626016
51,Raclette,0.07258064516129001,0.032258064516129004,0.7580645161290319,0.13709677419354802
52,POST,0.024590163934426004,0.008196721311475001,0.745901639344262,0.22131147540983603
53,Jongro BBQ,0.065573770491803,0.016393442622950002,0.639344262295082,0.278688524590163
54,1803,0.008196721311475001,0.008196721311475001,0.532786885245901,0.450819672131147
55,88 Lan Zhou Handmade Noodle,0.12,0.055999999999999994,0.7759999999999999,0.048
56,Pies-n-Thighs,0.065040650406504,0.073170731707317,0.6991869918699181,0.16260162601626002
57,Mominette,0.055555555555555004,0.055555555555555004,0.46031746031746,0.4285714285714281
58,Ipanema Restaurant,0.06451612903225801,0.048387096774193006,0.508064516129032,0.37903225806451596
59,Nyonya,0.047619047619047006,0.047619047619047006,0.777777777777777,0.12698412698412598
60,Zhen Wei Fang,0.055999999999999994,0.096,0.544,0.304
61,Café China,0.0703125,0.03125,0.7265625,0.171875
62,Salt + Charcoal,0.07258064516129001,0.032258064516129004,0.7258064516129029,0.16935483870967702
63,The Boil1,0.073170731707317,0.032520325203252,0.5365853658536579,0.35772357723577203
64,Olio e Piú,0.0076923076923070014,0.0076923076923070014,0.6923076923076921,0.29230769230769205
65,Hao Noodle and Tea By Madam Zhu's Kitchen,0.055555555555555004,0.023809523809523003,0.65079365079365,0.269841269841269
66,Sweet Chick2,0.024193548387096003,0.096774193548387,0.629032258064516,0.25
67,Red Hook Lobster Pound,0.038461538461538006,0.069230769230769,0.4923076923076921,0.4
68,Katsu-Hama,0.05691056910569101,0.113821138211382,0.7398373983739831,0.08943089430894301
69,Silver Factory,0.032786885245901,0.040983606557377004,0.34426229508196704,0.5819672131147541
70,PMF Pardon My French,0.032786885245901,0.032786885245901,0.5,0.434426229508196
71,Rabbithole Restaurant,0.041666666666666005,0.06666666666666599,0.591666666666666,0.30000000000000004
72,Claw Daddy's1,0.040650406504065005,0.048780487804878,0.4552845528455281,0.4552845528455281
73,Wok Wok,0.0625,0.09375,0.671875,0.171875
74,JeJu Noodle Bar,0.048780487804878,0.0,0.8780487804878041,0.073170731707317
75,The Flying Cock,0.008130081300813,0.032520325203252,0.48780487804878,0.4715447154471541
76,Freemans,0.049180327868852014,0.11475409836065499,0.475409836065573,0.3606557377049181
77,Da Andrea,0.024793388429752,0.033057851239669,0.6694214876033051,0.27272727272727204
78,Los Tacos No.11,0.033057851239669,0.016528925619834,0.7024793388429751,0.24793388429752006
79,Benson's NYC,0.033613445378151,0.050420168067226,0.621848739495798,0.29411764705882304
80,City Vineyard,0.016393442622950002,0.10655737704917999,0.31147540983606503,0.565573770491803
81,Bubby's High Line,0.040983606557377004,0.065573770491803,0.60655737704918,0.286885245901639
82,Blue Ribbon Brasserie - SoHo,0.031496062992125005,0.007874015748031,0.5275590551181101,0.433070866141732
83,Hometown Bar-B-Que,0.031007751937984007,0.06201550387596801,0.7054263565891471,0.20155038759689906
84,Trading Post,0.048780487804878,0.032520325203252,0.398373983739837,0.520325203252032
85,5ive Spice,0.032,0.04,0.784,0.14400000000000002
86,The Osprey,0.048,0.07200000000000001,0.336,0.544
87,Otis,0.008264462809917,0.016528925619834,0.5950413223140489,0.380165289256198
88,Benemon,0.032520325203252,0.016260162601626,0.8536585365853651,0.097560975609756
89,Kong Sihk Tong 港食堂,0.10655737704917999,0.008196721311475001,0.8278688524590161,0.057377049180327
90,The MasalaWala,0.016666666666666,0.091666666666666,0.34166666666666606,0.55
91,Pig and Khao,0.069767441860465,0.085271317829457,0.7364341085271311,0.108527131782945
92,Sunday in Brooklyn,0.032520325203252,0.040650406504065005,0.691056910569105,0.23577235772357705
93,Boucherie Union Square,0.0234375,0.03125,0.671875,0.2734375
94,Tribeca's Kitchen,0.05691056910569101,0.048780487804878,0.585365853658536,0.30894308943089405
95,Up Thai,0.0,0.016129032258064002,0.7096774193548381,0.27419354838709603
96,Peaches HotHouse,0.103174603174603,0.047619047619047006,0.555555555555555,0.293650793650793
97,Ootoya Chelsea,0.065573770491803,0.057377049180327,0.6639344262295079,0.21311475409835998
98,Westville Dumbo,0.048387096774193006,0.056451612903225014,0.6451612903225801,0.25
99,Paesano of Mulberry Street,0.008333333333333,0.1,0.483333333333333,0.40833333333333305
100,886,0.024590163934426004,0.07377049180327801,0.8278688524590161,0.07377049180327801
101,Woorijip,0.07874015748031402,0.031496062992125005,0.6220472440944881,0.26771653543307
102,Clay Pot - East Village,0.03333333333333299,0.025,0.9,0.041666666666666005
103,Very Fresh Noodles,0.091666666666666,0.008333333333333,0.8416666666666661,0.058333333333333
104,Shu Jiao Fu Zhou Cuisine Restaurant,0.11475409836065499,0.008196721311475001,0.7950819672131141,0.08196721311475401
105,Friedman's,0.065040650406504,0.065040650406504,0.585365853658536,0.284552845528455
106,La Contenta,0.032520325203252,0.016260162601626,0.5528455284552839,0.398373983739837
107,L'Artusi,0.047244094488188,0.015748031496062,0.6929133858267711,0.24409448818897606
108,Breakroom,0.096,0.032,0.68,0.192
109,Piccola Cucina Osteria,0.032786885245901,0.040983606557377004,0.6557377049180321,0.27049180327868805
110,Bijan's,0.024590163934426004,0.11475409836065499,0.40163934426229503,0.45901639344262196
111,Hao Noodle Chelsea,0.056451612903225014,0.032258064516129004,0.75,0.16129032258064502
112,Carmine's Italian Restaurant - Times Square,0.041322314049585994,0.082644628099173,0.4876033057851231,0.388429752066115
113,Park Avenue Tavern,0.016260162601626,0.048780487804878,0.520325203252032,0.41463414634146295
114,Las Ramblas,0.057377049180327,0.098360655737704,0.5819672131147541,0.262295081967213
115,Han Dynasty1,0.0703125,0.0859375,0.6484375,0.1953125
116,Cafe Habana,0.067226890756302,0.067226890756302,0.6050420168067221,0.260504201680672
117,Jora Restaurant & Bar,0.040322580645161005,0.040322580645161005,0.57258064516129,0.346774193548387
118,Sup Crab,0.032,0.104,0.5760000000000001,0.28800000000000003
119,Buttermilk Channel,0.08800000000000001,0.008,0.672,0.23199999999999998
120,Pepe Rosso Social,0.032786885245901,0.032786885245901,0.6885245901639341,0.24590163934426199
121,Her Name Is Han,0.008,0.008,0.848,0.136
122,The Hive,0.049180327868852014,0.10655737704917999,0.483606557377049,0.3606557377049181
123,Okonomi,0.03333333333333299,0.05,0.6666666666666661,0.25
124,Gelso & Grand,0.024590163934426004,0.049180327868852014,0.745901639344262,0.18032786885245905
125,Eataly NYC Flatiron,0.100775193798449,0.06201550387596801,0.4341085271317821,0.4031007751937981
126,Shanghai 21,0.047244094488188,0.023622047244094,0.84251968503937,0.08661417322834601
127,Buvette,0.048780487804878,0.024390243902439,0.642276422764227,0.284552845528455
128,Gramercy Tavern,0.06015037593984901,0.037593984962406006,0.451127819548872,0.451127819548872
129,Win Son,0.041666666666666005,0.05,0.725,0.18333333333333304
130,The Halal Guys,0.030534351145038007,0.11450381679389303,0.427480916030534,0.427480916030534
131,Ducks Eatery,0.103174603174603,0.095238095238095,0.6746031746031741,0.12698412698412598
132,Rubirosa,0.016260162601626,0.016260162601626,0.8780487804878041,0.08943089430894301
133,Spoonfed New York Country,0.056451612903225014,0.08870967741935401,0.387096774193548,0.4677419354838701
134,Grand Banks,0.008333333333333,0.05,0.2,0.7416666666666658
135,YunShang Rice Noodle House,0.104838709677419,0.056451612903225014,0.7741935483870961,0.06451612903225801
136,Dutch Freds,0.016,0.032,0.472,0.48
137,Emily,0.040322580645161005,0.032258064516129004,0.7258064516129029,0.201612903225806
138,Jin Ramen,0.12698412698412598,0.023809523809523003,0.7063492063492061,0.14285714285714202
139,Laojie Hotpot,0.032258064516129004,0.0,0.6451612903225801,0.32258064516129004
140,Soco,0.022727272727272003,0.06060606060606,0.469696969696969,0.4469696969696961
141,Tanner Smiths,0.032520325203252,0.032520325203252,0.40650406504065,0.5284552845528451
142,Amy Ruth's,0.065573770491803,0.040983606557377004,0.6639344262295079,0.22950819672131098
143,Clover Club,0.024,0.08800000000000001,0.424,0.46399999999999997
144,Banter,0.041666666666666005,0.016666666666666,0.8,0.14166666666666602
145,Olea,0.096,0.032,0.552,0.32
146,BlackTail,0.03333333333333299,0.05,0.40833333333333305,0.5083333333333331
147,Taboonette,0.168,0.055999999999999994,0.6000000000000001,0.17600000000000002
148,Hole in the Wall,0.031496062992125005,0.055118110236220014,0.6850393700787399,0.22834645669291298
149,Jack the Horse Tavern,0.070866141732283,0.08661417322834601,0.44881889763779503,0.3937007874015741
150,AlMar,0.031496062992125005,0.118110236220472,0.38582677165354295,0.4645669291338581
151,DOMODOMO,0.024,0.032,0.792,0.152
152,Naked Dog,0.008064516129032001,0.040322580645161005,0.6129032258064511,0.33870967741935404
153,RH Rooftop Restaurant,0.008,0.048,0.336,0.608
154,HandCraft Kitchen & Cocktails,0.024590163934426004,0.065573770491803,0.557377049180327,0.352459016393442
155,The Wild Son,0.040322580645161005,0.008064516129032001,0.661290322580645,0.29032258064516103
156,The Cabin NYC,0.048780487804878,0.121951219512195,0.365853658536585,0.463414634146341
157,Tim Ho Wan,0.055999999999999994,0.048,0.784,0.11199999999999999
158,Coppelia,0.031496062992125005,0.08661417322834601,0.590551181102362,0.29133858267716495
159,Los Tacos No.12,0.032520325203252,0.05691056910569101,0.5447154471544711,0.365853658536585
160,Tsurutontan Udon Noodle Brasserie,0.078125,0.0390625,0.8046875,0.078125
161,Jack's Wife Freda2,0.041666666666666005,0.06666666666666599,0.7166666666666658,0.17500000000000002
162,Shuka,0.056451612903225014,0.0,0.8064516129032251,0.13709677419354802
163,Dian Kitchen,0.056451612903225014,0.008064516129032001,0.8387096774193541,0.096774193548387
164,Cock & Bull,0.049586776859504,0.049586776859504,0.40495867768595,0.495867768595041
165,Tiny Shanghai,0.08064516129032201,0.032258064516129004,0.7580645161290319,0.129032258064516
166,Shinka Ramen & Sake Bar,0.05691056910569101,0.008130081300813,0.8373983739837391,0.097560975609756
167,Citizens Of Gramercy,0.048076923076922996,0.08653846153846101,0.5096153846153839,0.35576923076923
168,The River Café,0.008130081300813,0.08130081300813001,0.23577235772357705,0.6747967479674789
169,Toloache 50,0.008333333333333,0.08333333333333301,0.525,0.3833333333333329
170,Vanessa's Dumpling House,0.20661157024793306,0.033057851239669,0.6942148760330571,0.066115702479338
171,Dar 5251,0.053571428571428006,0.035714285714285005,0.6071428571428571,0.30357142857142805
172,Cheeky Sandwiches,0.040322580645161005,0.032258064516129004,0.7096774193548381,0.21774193548387
173,La Sirène-Soho,0.033057851239669,0.033057851239669,0.7851239669421479,0.14876033057851198
174,Claw Daddy's2,0.023809523809523003,0.039682539682539,0.6190476190476191,0.317460317460317
175,Supper,0.024193548387096003,0.056451612903225014,0.6532258064516121,0.266129032258064
176,Peter Luger,0.048387096774193006,0.040322580645161005,0.7177419354838711,0.193548387096774
177,Noodle Village,0.054263565891472014,0.03875968992248,0.7984496124031001,0.108527131782945
178,Mable's Smokehouse & Banquet Hall,0.07377049180327801,0.024590163934426004,0.6475409836065571,0.25409836065573704
179,Buddakan,0.015748031496062,0.047244094488188,0.5275590551181101,0.40944881889763707
180,Barn Joo,0.016528925619834,0.033057851239669,0.6528925619834711,0.29752066115702397
181,Pollo D' Oro,0.040650406504065005,0.08130081300813001,0.479674796747967,0.398373983739837
182,Excuse My French,0.048780487804878,0.05691056910569101,0.577235772357723,0.31707317073170704
183,Traif,0.015625,0.03125,0.625,0.328125
184,Luke's Lobster Brooklyn Bridge Park,0.098360655737704,0.07377049180327801,0.5163934426229501,0.31147540983606503
185,Pio Pio 8,0.023809523809523003,0.134920634920634,0.444444444444444,0.39682539682539597
186,Sea Wolf,0.016129032258064002,0.06451612903225801,0.4838709677419351,0.43548387096774105
187,Kopitiam,0.03125,0.015625,0.8046875,0.1484375
188,Hwa Yuan,0.024793388429752,0.07438016528925599,0.619834710743801,0.28099173553719003
189,Pado,0.047619047619047006,0.055555555555555004,0.5793650793650791,0.317460317460317
190,China Blue,0.024390243902439,0.065040650406504,0.7073170731707309,0.203252032520325
191,Dim Sum Palace1,0.120967741935483,0.07258064516129001,0.669354838709677,0.13709677419354802
192,Bread & Spread,0.065573770491803,0.07377049180327801,0.5163934426229501,0.34426229508196704
193,Chez Ma Tante,0.0625,0.0859375,0.65625,0.1953125
194,Time Out Market New York,0.049180327868852014,0.049180327868852014,0.3770491803278681,0.524590163934426
195,Silky Kitchen,0.098360655737704,0.016393442622950002,0.7622950819672131,0.12295081967213099
196,Rabbit House Japanese Tapas & Sake Bar,0.08943089430894301,0.08943089430894301,0.520325203252032,0.30081300813008105
197,Forma Pasta Factory,0.018518518518518,0.018518518518518,0.62037037037037,0.342592592592592
198,Soba-ya,0.08130081300813001,0.05691056910569101,0.7479674796747958,0.113821138211382
199,Oda House,0.03333333333333299,0.091666666666666,0.7666666666666658,0.108333333333333
200,Bengal Tiger Indian Food,0.016,0.024,0.34400000000000003,0.616
201,Five Senses,0.055555555555555004,0.047619047619047006,0.7936507936507929,0.103174603174603
202,IL Brigante,0.064,0.16,0.48,0.29600000000000004
203,The Original Buddha Bodai 佛菩提 Kosher Vegetarian Restaurant,0.07438016528925599,0.082644628099173,0.6942148760330571,0.14876033057851198
204,Davelle,0.030612244897959006,0.051020408163265,0.7755102040816321,0.14285714285714202
205,BLVD Bistro,0.047619047619047006,0.103174603174603,0.5634920634920629,0.28571428571428503
206,Ruby's Cafe,0.040650406504065005,0.073170731707317,0.6747967479674789,0.21138211382113806
207,Ugly Kitchen,0.07377049180327801,0.08196721311475401,0.450819672131147,0.3934426229508191
208,BCD Tofu House,0.07874015748031402,0.023622047244094,0.7165354330708661,0.181102362204724
209,Baba's Pierogies,0.024390243902439,0.008130081300813,0.780487804878048,0.18699186991869896
210,Beco,0.03125,0.0703125,0.3671875,0.53125
211,La Parisienne,0.065573770491803,0.016393442622950002,0.573770491803278,0.34426229508196704
212,The Little Owl,0.016393442622950002,0.049180327868852014,0.573770491803278,0.3606557377049181
213,Ise Restaurant,0.047619047619047006,0.06349206349206299,0.7539682539682541,0.134920634920634
214,Balthazar Restaurant,0.048780487804878,0.05691056910569101,0.593495934959349,0.30081300813008105
215,Maharlika,0.096774193548387,0.048387096774193006,0.6774193548387091,0.17741935483870902
216,Sweet Chick3,0.049586776859504,0.066115702479338,0.644628099173553,0.239669421487603
217,Taste of Heaven,0.033057851239669,0.033057851239669,0.5289256198347101,0.40495867768595
218,Malatesta Trattoria,0.048,0.104,0.64,0.208
219,Yemen Cafe & Restaurant,0.041322314049585994,0.016528925619834,0.661157024793388,0.28099173553719003
220,Antica Ristorante,0.040322580645161005,0.096774193548387,0.47580645161290297,0.387096774193548
221,Egg Shop,0.040650406504065005,0.048780487804878,0.691056910569105,0.21951219512195105
222,Junior's Restaurant & Bakery - 45th St.,0.07200000000000001,0.04,0.72,0.168
223,Burger & Lobster2,0.008264462809917,0.033057851239669,0.5702479338842971,0.388429752066115
224,Carroll Place,0.0546875,0.046875,0.4453125,0.453125
225,Lowerline,0.040983606557377004,0.032786885245901,0.44262295081967207,0.483606557377049
226,The Paris Cafe,0.057377049180327,0.090163934426229,0.336065573770491,0.5163934426229501
227,Casa Enrique,0.015873015873014998,0.031746031746031,0.6111111111111109,0.34126984126984095
228,French Louie,0.07377049180327801,0.065573770491803,0.6229508196721311,0.23770491803278604
229,Fresh Salt,0.058333333333333,0.03333333333333299,0.425,0.483333333333333
230,Mémé Mediterranean,0.032520325203252,0.08943089430894301,0.7073170731707309,0.17073170731707302
231,Saigon Shack,0.040322580645161005,0.040322580645161005,0.7822580645161291,0.13709677419354802
232,Old Tbilisi Garden,0.099173553719008,0.099173553719008,0.5537190082644621,0.24793388429752006
233,Rustic Table,0.057377049180327,0.049180327868852014,0.5819672131147541,0.31147540983606503
234,Momosan Ramen & Sake,0.03333333333333299,0.025,0.8166666666666661,0.125
235,Khe-Yo,0.047244094488188,0.055118110236220014,0.6614173228346449,0.236220472440944
236,Cookshop,0.016260162601626,0.032520325203252,0.691056910569105,0.260162601626016
237,Le Parisien,0.040983606557377004,0.040983606557377004,0.6229508196721311,0.295081967213114
238,The Bluebell Cafe,0.040650406504065005,0.065040650406504,0.56910569105691,0.32520325203252004
239,High Lúa Vietnamese Kitchen,0.07843137254901901,0.019607843137254003,0.7156862745098029,0.18627450980392105
240,The Smith2,0.046875,0.0234375,0.671875,0.2578125
241,Cheeseboat,0.05,0.06666666666666599,0.591666666666666,0.291666666666666
242,Madame Vo,0.024,0.04,0.8,0.136
243,Ippudo Westside,0.016260162601626,0.040650406504065005,0.8292682926829259,0.113821138211382
244,Bogota Latin Bistro,0.03937007874015701,0.070866141732283,0.5275590551181101,0.362204724409448
245,GunBae,0.073170731707317,0.073170731707317,0.5121951219512191,0.34146341463414603
246,Lolo's Seafood Shack,0.058333333333333,0.03333333333333299,0.5750000000000001,0.33333333333333304
247,Black Tap - Midtown,0.041322314049585994,0.041322314049585994,0.7024793388429751,0.21487603305785105
248,Miss Ada,0.024390243902439,0.065040650406504,0.6341463414634141,0.27642276422764195
249,Pommes Frites,0.040322580645161005,0.040322580645161005,0.8306451612903221,0.08870967741935401
250,Spicy Moon,0.049180327868852014,0.008196721311475001,0.7540983606557371,0.188524590163934
251,Gato,0.032,0.04,0.664,0.264
252,Prince Street Pizza,0.070866141732283,0.007874015748031,0.8740157480314961,0.047244094488188
253,99 Favor Taste2,0.084745762711864,0.033898305084745,0.5,0.3813559322033889
254,Hold Fast Kitchen and Spirits,0.016528925619834,0.041322314049585994,0.231404958677685,0.7107438016528921
255,Cafe Mogador2,0.06299212598425101,0.07874015748031402,0.629921259842519,0.22834645669291298
256,The Winslow,0.0,0.049180327868852014,0.16393442622950802,0.7868852459016391
257,Top Thai Greenwich,0.023809523809523003,0.039682539682539,0.7539682539682541,0.182539682539682
258,Modern Love Brooklyn,0.023622047244094,0.031496062992125005,0.6929133858267711,0.25196850393700704
259,Cocoron1,0.07377049180327801,0.057377049180327,0.7786885245901629,0.090163934426229
260,Adalya,0.06666666666666599,0.075,0.3833333333333329,0.475
261,Local 92,0.023809523809523003,0.08730158730158699,0.484126984126984,0.4047619047619041
262,Baron's,0.032258064516129004,0.096774193548387,0.41935483870967705,0.4516129032258061
263,House of Small Wonder,0.025,0.075,0.65,0.25
264,L'industrie Pizzeria,0.024793388429752,0.016528925619834,0.8429752066115701,0.115702479338842
265,OBAO,0.08064516129032201,0.056451612903225014,0.5806451612903221,0.28225806451612895
266,Butcher Bar,0.05797101449275301,0.072463768115942,0.528985507246376,0.34057971014492705
267,Tabaré,0.016393442622950002,0.032786885245901,0.565573770491803,0.385245901639344
268,Ñaño Ecuadorian Kitchen,0.041322314049585994,0.024793388429752,0.644628099173553,0.28925619834710703
269,Suspenders Restaurant & Bar,0.032786885245901,0.131147540983606,0.5163934426229501,0.319672131147541
270,Birds of a Feather,0.065573770491803,0.07377049180327801,0.7213114754098361,0.139344262295081
271,Kaoru,0.040983606557377004,0.040983606557377004,0.6639344262295079,0.25409836065573704
272,Boqueria Soho,0.055999999999999994,0.04,0.6000000000000001,0.304
273,The Smith3,0.024193548387096003,0.008064516129032001,0.6048387096774189,0.362903225806451
274,Rasa,0.055118110236220014,0.03937007874015701,0.6771653543307079,0.22834645669291298
275,Let's Meat,0.048387096774193006,0.07258064516129001,0.5564516129032251,0.32258064516129004
276,Belle Reve,0.048387096774193006,0.129032258064516,0.330645161290322,0.491935483870967
277,Habana Outpost,0.050420168067226,0.08403361344537798,0.3949579831932771,0.470588235294117
278,Pure Thai Cookhouse,0.039682539682539,0.015873015873014998,0.7460317460317459,0.19841269841269799
279,Entwine,0.057851239669421,0.066115702479338,0.21487603305785105,0.661157024793388
280,Tableside Italian Cook Shoppe,0.007874015748031,0.047244094488188,0.700787401574803,0.24409448818897606
281,Takashi,0.06349206349206299,0.103174603174603,0.6746031746031741,0.15873015873015803
282,CAVA,0.11199999999999999,0.064,0.616,0.208
283,Bobwhite Counter,0.07377049180327801,0.065573770491803,0.704918032786885,0.15573770491803202
284,Daniel,0.007575757575757002,0.037878787878787006,0.34090909090909005,0.6136363636363631
285,Pig Beach,0.008064516129032001,0.048387096774193006,0.4838709677419351,0.45967741935483797
286,Colonie,0.031746031746031,0.023809523809523003,0.507936507936507,0.43650793650793607
287,BH Kitchen & Bar,0.03333333333333299,0.05,0.4,0.516666666666666
288,Industry Kitchen,0.040983606557377004,0.065573770491803,0.49180327868852397,0.40163934426229503
289,Evelina,0.016528925619834,0.057851239669421,0.5371900826446281,0.388429752066115
290,Kitchen 79,0.049180327868852014,0.07377049180327801,0.6557377049180321,0.22131147540983603
291,Cafe Luluc,0.024,0.048,0.648,0.28
292,Death Ave,0.07200000000000001,0.21600000000000003,0.22399999999999998,0.488
293,Pepe Giallo,0.03937007874015701,0.070866141732283,0.496062992125984,0.3937007874015741
294,Izakaya MEW,0.040650406504065005,0.040650406504065005,0.7642276422764219,0.15447154471544702
295,Mermaid Oyster Bar,0.016129032258064002,0.040322580645161005,0.5564516129032251,0.387096774193548
296,Havana Central,0.024590163934426004,0.024590163934426004,0.532786885245901,0.4180327868852449
297,La Goulette,0.056451612903225014,0.048387096774193006,0.5241935483870961,0.37096774193548304
